turbine,horizon,horizon_minutes,target_column,model,n_features,assert_target_not_in_X,assert_no_future_features,assert_timestamp_alignment,n_timestamp_mismatches_checked,assert_not_identical_to_target,all_passed,note
TB01,10min,10,TB01_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,10min,10,TB01_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,10min,10,TB01_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,30min,30,TB01_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,30min,30,TB01_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,30min,30,TB01_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,1hour,60,TB01_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,1hour,60,TB01_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,1hour,60,TB01_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,6hour,360,TB01_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,6hour,360,TB01_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,6hour,360,TB01_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,24hour,1440,TB01_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,24hour,1440,TB01_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB01,24hour,1440,TB01_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,10min,10,TB02_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,10min,10,TB02_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,10min,10,TB02_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,30min,30,TB02_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,30min,30,TB02_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,30min,30,TB02_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,1hour,60,TB02_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,1hour,60,TB02_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,1hour,60,TB02_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,6hour,360,TB02_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
